INPUT_TABLE
Variable ID
ElecTPPHeader

sector-name,subsector-name,technology,year
electricity,coal,coal (conv pul),1975
electricity,coal,coal (conv pul),1990
electricity,coal,coal (conv pul),2005
electricity,coal,coal (conv pul),2010
electricity,coal,coal (conv pul),2015
electricity,coal,coal (conv pul),2020
electricity,coal,coal (conv pul),2025
electricity,coal,coal (conv pul),2030
electricity,coal,coal (conv pul),2035
electricity,coal,coal (conv pul),2040
electricity,coal,coal (conv pul),2045
electricity,coal,coal (conv pul),2050
electricity,coal,coal (conv pul),2055
electricity,coal,coal (conv pul),2060
electricity,coal,coal (conv pul),2065
electricity,coal,coal (conv pul),2070
electricity,coal,coal (conv pul),2075
electricity,coal,coal (conv pul),2080
electricity,coal,coal (conv pul),2085
electricity,coal,coal (conv pul),2090
electricity,coal,coal (conv pul),2095
electricity,coal,coal (conv pul),2100
electricity,coal,coal (conv pul CCS),1975
electricity,coal,coal (conv pul CCS),1990
electricity,coal,coal (conv pul CCS),2005
electricity,coal,coal (conv pul CCS),2010
electricity,coal,coal (conv pul CCS),2015
electricity,coal,coal (conv pul CCS),2020
electricity,coal,coal (conv pul CCS),2025
electricity,coal,coal (conv pul CCS),2030
electricity,coal,coal (conv pul CCS),2035
electricity,coal,coal (conv pul CCS),2040
electricity,coal,coal (conv pul CCS),2045
electricity,coal,coal (conv pul CCS),2050
electricity,coal,coal (conv pul CCS),2055
electricity,coal,coal (conv pul CCS),2060
electricity,coal,coal (conv pul CCS),2065
electricity,coal,coal (conv pul CCS),2070
electricity,coal,coal (conv pul CCS),2075
electricity,coal,coal (conv pul CCS),2080
electricity,coal,coal (conv pul CCS),2085
electricity,coal,coal (conv pul CCS),2090
electricity,coal,coal (conv pul CCS),2095
electricity,coal,coal (conv pul CCS),2100
electricity,coal,coal (IGCC),1975
electricity,coal,coal (IGCC),1990
electricity,coal,coal (IGCC),2005
electricity,coal,coal (IGCC),2010
electricity,coal,coal (IGCC),2015
